PT,a,N,ROR,ROR_CI_lo,ROR_CI_hi,ROR_signal,PRR,PRR_chi2,PRR_p,PRR_signal,EBGM,EB05,EB95,IC,EBGM_signal,SIGNAL_COUNT
INTENTIONAL DOSE OMISSION,256,397209,1.9812310299484688,1.7336664749034016,2.2641473725500654,True,1.9736169793387024,104.75469086970189,1.3823243981647738e-24,False,1.823024254343498,1.6450726645759095,2.0202253088810673,0.8663337557754627,False,1
SKIN ATROPHY,17,397209,1.7221945230131275,1.0329075879844467,2.871461115784808,True,1.7218223819173368,4.451588377072079,0.03486880029719246,False,1.5959601838653252,1.077071020387505,2.3648291155090773,0.6744246595448595,False,1
SKIN DISORDER,94,397209,1.6106584964628852,1.296878715096066,2.0003572901849314,True,1.6089185704628395,18.942454515289413,1.3472103931293268e-05,False,1.5271704102454973,1.2894261540967105,1.8087499268721017,0.6108610551268555,False,1
SKIN LESION,87,397209,1.7514772233581646,1.396551916454259,2.1966046716909866,True,1.7494955156672138,24.152142524207836,8.901707785312131e-07,False,1.6409038094521142,1.3762870039043054,1.9563981235280758,0.714490669873062,False,1
INJECTION SITE OEDEMA,4,397209,2.9442143874859794,0.977097179909242,8.871582620149011,False,2.9439786608468976,4.053841392533961,0.04407095154660846,True,2.165456696390442,0.9971748460022127,4.702487956592321,1.114671322473633,False,1
ILLNESS,572,397209,1.2978632928874652,1.1892939368810853,1.4163438278699627,True,1.2926989206789348,34.40799423009532,4.4688399685185056e-09,False,1.2617296363529031,1.1778993539029834,1.3515260620325882,0.3354028024914957,False,1
INCORRECT DOSE ADMINISTERED,962,397209,1.9381888653871624,1.8082552683758737,2.077458942666226,True,1.91083177743886,361.9826943599887,1.0419843934541403e-80,False,1.7757259478277245,1.6840240092195098,1.872421428985491,0.8284089441779863,False,1
INCORRECT ROUTE OF PRODUCT ADMINISTRATION,62,397209,1.4665621179771442,1.124964962588996,1.9118857185878415,True,1.4656853075950829,8.109162652916238,0.004404206637255528,False,1.4064802342165688,1.1422641916064258,1.7318118380826304,0.4920892780716618,False,1
INCREASED VISCOSITY OF UPPER RESPIRATORY SECRETION,4,397209,2.9442143874859794,0.977097179909242,8.871582620149011,False,2.9439786608468976,4.053841392533961,0.04407095154660846,True,2.165456696390442,0.9971748460022127,4.702487956592321,1.114671322473633,False,1
HYPERSENSITIVITY,372,397209,1.4014141000831493,1.2573788263022443,1.5619489042038097,True,1.3968878339732729,37.550038549935735,8.909765955558594e-10,False,1.3516706487459647,1.2412380741572517,1.4719283759659096,0.43474366396868674,False,1
EYE PAIN,169,397209,1.6648004159406362,1.4156583999378383,1.9577889871156875,True,1.6613949032161364,38.8032133239568,4.687555697146454e-10,False,1.572214988371955,1.3856006901414835,1.7839627154119166,0.65279850859583,False,1
DYSPNOEA,1522,397209,1.9041315701857988,1.8012909275206608,2.012843667385123,True,1.8624205505191387,534.265011916398,3.3348730556631017e-118,False,1.7375112309068765,1.6657826253991541,1.8123284704113964,0.7970223031433622,False,1
DYSPNOEA EXERTIONAL,116,397209,1.6049188481799967,1.3204891551206728,1.9506139064110841,True,1.602791886693868,23.01669266896075,1.606008579933707e-06,False,1.52293189984081,1.3076492393817405,1.7736572635099908,0.606851431018533,False,1
EAR INFECTION,97,397209,1.7237876237752485,1.3913342731469958,2.1356792750887568,True,1.7216595464357862,25.429482225977026,4.588518377013686e-07,False,1.6191170762937546,1.3706503841566946,1.9126249385316172,0.695207308853321,False,1
EMPHYSEMA,19,397209,1.8404707024141695,1.1322511627575627,2.9916793357007143,True,1.839986663029311,6.247156119126141,0.012439286464849196,False,1.6888110138490746,1.1635848120466104,2.451117108929479,0.7560078925930805,False,1
DISCOMFORT,278,397209,1.9068356419905128,1.6781296671229722,2.166711093189276,True,1.8991941546614424,101.4657685668546,7.270914677826223e-24,False,1.7647802573301576,1.5991212232223286,1.9476005392427278,0.819488556643025,False,1
DRUG INEFFECTIVE,2037,397209,1.113730715605936,1.0625823880101046,1.1673411124449342,True,1.106708513560248,20.184841493752486,7.030787428531686e-06,False,1.096959936512318,1.057702824997108,1.1376740932089302,0.13351083617823448,False,1
SLEEP DISORDER,255,397209,1.7338363698471078,1.5187007307590872,1.9794476268553733,True,1.728164269143552,67.97025106347233,1.6598093190950913e-16,False,1.6276016230229093,1.4684310005212413,1.8040255499417244,0.7027476241614785,False,1
STREPTOCOCCAL INFECTION,18,397209,1.9112525632860453,1.1586682848550134,3.152659314503091,True,1.9107553808381308,6.663122919001127,0.009842827479097371,False,1.7398733729899551,1.1869151198813794,2.550442995740065,0.7989823113572804,False,1
STRESS,234,397209,1.7250771295079406,1.5023935609397152,1.980766678000137,True,1.7199342709009007,61.27906867851187,4.953182851474961e-15,False,1.6207398880205288,1.4556615314101762,1.8045388491348522,0.6966525718091232,False,1
ARTHRALGIA,1337,397209,1.7706091975721283,1.6694889449195052,1.877854261968877,True,1.7393793319374418,372.2251872681386,6.1334628254284965e-83,False,1.6383518434556215,1.5662916342703763,1.7137273188621793,0.7122452155257437,False,1
VIRAL INFECTION,96,397209,1.267004332782542,1.0254707558074267,1.5654273612373923,True,1.2662273810094182,4.832035275317077,0.027935633825359543,False,1.2373030685178115,1.0465274316528228,1.462855952992795,0.30719892140925364,False,1
VISION BLURRED,402,397209,1.9677408610067118,1.7686550047392493,2.18923650214434,True,1.9559488017746578,160.63074963617976,8.238322369459547e-37,False,1.8102471642518272,1.667739678060043,1.9649318408576004,0.8561866908422212,False,1
ACNE,105,397209,1.2512761059240247,1.0222743058842982,1.5315770769588308,True,1.2504763729325414,4.7443552216635165,0.02939456705345386,False,1.2236870259324366,1.0425960027826928,1.4362321871931014,0.2912346169585424,False,1
